Title ID HEX	Title ID DEC	Serial Number	Title Name	Publisher	Region	Rating	Version	Media Type	Init Flags	Entry Point	Cert Timestamp	MD5 Checksum
0x4D4A0014	1296695316	MJ-020	Aeon Flux	Majesco Entertainment	(3) Japan + USA / Canada	(3) T - Teen	0x00000001	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8DA0CCD) Retail	Thu Oct 13 07:00:01 2005	3F74FC7DE9E78AC241F339F9EDF4D536
0x4541000D	1161887757	EA-013	Agent Under Fire ™	Electronic Arts (EA)	(1) USA / Canada	(3) T - Teen	0x00000001	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8FE799E) Retail	Fri Feb 22 08:02:51 2002	FF55C0B0C86FE26A20926418B97B4EE7
0x41430007	1094909959	AC-007	Aggressive Inline	Acclaim Entertainment	(1) USA / Canada	(3) T - Teen	0x00000001	(0x00000002) XBOX DVD	(0x00000001) Mount Utility Drive	(0xA8F34488) Retail	Tue Jul 16 07:09:38 2002	08EDD09F4834C32F99BADBFFC42A8BC7
0x4B4E0002	1263403010	KN-002	Airforce Delta Storm	Konami	(1) USA / Canada	(4) E - Everyone	0x00000001	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8EC976B) Retail	Fri Nov 30 08:51:02 2001	C8D878FC4BDAD378FEFA35538F336814
0x5A440004	1514405892	ZD-004	Alien Hominid	Zushi Games (formerly Zoo Digital Publishing)	(4) PAL	(0) RP - ALL	0x00000001	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8FAB0B2) Retail	Thu Mar 24 23:15:08 2005	8FEAB956ECA9D56794B25CF0D10C5B3A
0x41430002	1094909954	AC-002	All-Star Baseball '03	Acclaim Entertainment	(1) USA / Canada	(4) E - Everyone	0x00000001	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8E42A3B) Retail	Tue Feb 19 04:36:24 2002	5DE01619CC7F0CB44AD7008C01F3DFC9
0x41430018	1094909976	AC-024	All-Star Baseball '04	Acclaim Entertainment	(1) USA / Canada	(4) E - Everyone	0x00000001	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8E2A67A) Retail	Wed Feb 12 07:20:34 2003	22EC264CA8FD5DBC30E7556BEEC90203
0x4143001C	1094909980	AC-028	All-Star Baseball '05	Acclaim Entertainment	(1) USA / Canada	(4) E - Everyone	0x00000001	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8D4EDD9) Retail	Thu Mar 04 07:58:34 2004	3AB0C2D740628A90F9B205C1086FD751
0x5451000F	1414594575	TQ-015	Alter Echo	THQ	(1) USA / Canada	(3) T - Teen	0x00000001	(0x00000002) XBOX DVD	(0x80000005) Unused high bit (8)? + 64MB RAM limit + Mount Utility Drive	(0xA8F93609) Retail	Thu Jul 10 06:20:55 2003	B1BF0AA683F8C8C31486BCFDAD8F7CF2
0x55530043	1431502915	US-067	Americas Army:RoaS	Ubisoft	(1) USA / Canada	(3) T - Teen	0x00000003	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8CCD3F4) Retail	Thu Oct 13 07:01:15 2005	3DF56E3C04599D56DB4D7C8350E0C47D
0x4156003D	1096155197	AV-061	American Chopper	Activision	(7) PAL + Japan + USA / Canada	(3) T - Teen	0x00000001	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8F3B9A6) Retail	Tue Nov 23 08:02:16 2004	85977D6651FC43EFE7F23123B32697B6
0x4156004F	1096155215	AV-079	American Chopper 2 Full Throttle	Activision	(7) PAL + Japan + USA / Canada	(3) T - Teen	0x00000001	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8F2E4A9) Retail	Fri Nov 04 07:42:49 2005	347C07515E0654609ECEDB230726F11E
0x41560049	1096155209	AV-073	American Wasteland	Activision	(7) PAL + Japan + USA / Canada	(3) T - Teen	0x00000001	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000004) 64MB RAM limit	(0xA8DA51B9) Retail	Thu Sep 15 06:35:19 2005	7267C67190F2078DB47557DBFD32C019
0x4D530005	1297285125	MS-005	Amped	Microsoft Game Studios	(4) PAL	(0) RP - ALL	0x00000001	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8FD0C91) Retail	Fri Jan 18 23:07:21 2002	FD39E26B316F1C449686BE576B998F28
0x4D530041	1297285185	MS-065	Amped 2	Microsoft Game Studios	(1) USA / Canada	(4) E - Everyone	0x00000001	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8D91F32) Retail	Wed Oct 08 07:13:27 2003	C57E3D89D4821D967CEC52C71F76ED61
0x55530056	1431502934	US-086	And 1 StreetBall	Ubisoft	(7) PAL + Japan + USA / Canada	(3) T - Teen	0x00000002	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8FD77DF) Retail	Tue May 02 06:50:12 2006	BEF686279EB81C7D67ED987C18EFD11F
0x56550009	1448411145	VU-009	Antz Extreme Racing	Vivendi Universal Games	(1) USA / Canada	(4) E - Everyone	0x00000002	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8F5F5BA) Retail	Wed Jul 17 05:43:57 2002	92CA6F8A40435C7929FD424464C350EF
0x454D0001	1162674177	EM-001	Antz Extreme Racing	Empire Interactive	(4) PAL	(0) RP - ALL	0x00000001	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8F5F64A) Retail	Tue Jul 02 18:22:53 2002	58F1A634ECD5F8F654475FAF3BB45C8C
0x544D0003	1414332419	TM-003	Aquaman: Battle for Atlantis	TDK Mediactive	(1) USA / Canada	(3) T - Teen	0x00000001	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8F75872) Retail	Sat Apr 05 12:54:43 2003	B2A6E325F6DF6B2D07619A1BF8F7D73D
0x4D570002	1297547266	MW-002	Arctic Thunder	Midway Games	(1) USA / Canada	(3) T - Teen	0x00000001	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8F6A035) Retail	Fri Oct 19 03:11:52 2001	ACAD59B116656868270D63523A3AF045
0x4D570005	1297547269	MW-005	Area51	Midway Games	(4) PAL	(0) RP - ALL	0x00000002	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000007) 64MB RAM limit + Format Utility Drive + Mount Utility Drive	(0xA8D9024A) Retail	Mon Apr 11 20:40:15 2005	22F3A0E204C8B998EF8AEFBFDE08397E
0x4C41000D	1279328269	LA-013	Armed & Dangerous	LucasArts	(1) USA / Canada	(3) T - Teen	0x00000001	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8FE63D8) Retail	Sat Oct 25 07:32:58 2003	342AB6E4E89FD723985E7D798D4CAD01
0x54540088	1414791304	TT-136	Army Men Major Malfunction	Take-Two Interactive Software	(7) PAL + Japan + USA / Canada	(3) T - Teen	0x00000001	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8D08D7A) Retail	Tue Feb 28 09:17:03 2006	ABA33B06A525F9D3BDE0B514F93A65DE
